Date,Close,Volume,SMA_21,MSTD_21,Day_of_week,Weekend,Invalid_Days,diff_close_mean,diff_close_mean_z_score,meta
2021-07-23,20.9761905670166,61992.0,20.59183647519066,0.2894441851772888,4,0,0,0.3843540918259407,1.3279040019080646,1
2021-07-24,21.158730189005535,138222.0,20.59183647519066,0.2894441851772888,5,1,1,0.5668937138148742,1.9585596907660918,1
2021-07-25,21.341269810994465,214452.0,20.59183647519066,0.2894441851772888,6,1,1,0.7494333358038041,2.5892153796241066,2
2021-07-26,21.5238094329834,290682.0,20.626983915056503,0.3521790698501003,0,0,0,0.8968255179268958,2.5465043062002977,2
2021-07-27,20.69841194152832,123732.0,20.619047346569243,0.34840288803771857,1,0,0,0.07936459495907755,0.2277954565935901,0
2021-07-28,20.76190376281738,70938.0,20.614890053158714,0.34603200916824595,2,0,0,0.14701370965866545,0.42485581033974573,0
2021-07-29,21.10317420959473,102186.0,20.63605408441453,0.36206741792391717,3,0,0,0.46712012518020174,1.290146812598199,1
2021-07-30,20.75396728515625,69300.0,20.663264955793107,0.3474575383484352,4,0,0,0.09070232936314326,0.2610457951042804,0
2021-07-31,20.735448837280273,84042.0,20.663264955793107,0.3474575383484352,5,1,1,0.0721838814871667,0.20774878516171297,0
2021-08-01,20.716930389404297,98784.0,20.663264955793107,0.3474575383484352,6,1,1,0.05366543361119014,0.1544517752191455,0
2021-08-02,20.69841194152832,113526.0,20.696522667294456,0.3124597690315987,0,0,0,0.0018892742338643131,0.006046455963658006,0
2021-08-03,20.9841251373291,98784.0,20.72071002778553,0.3142057840862175,1,0,0,0.2634151095435726,0.8383521974607951,0
2021-08-04,20.96825218200684,135198.0,20.744141533261253,0.31340573559368684,2,0,0,0.22411064874558662,0.7150815166833246,0
2021-08-05,20.39682579040527,88074.0,20.744141533261253,0.31340573559368684,3,0,0,-0.347315742855983,-1.1081984259096604,-1
2021-08-06,20.84920692443848,70308.0,20.744141533261253,0.31340573559368684,4,0,0,0.10506539117722724,0.335237614519725,0
2021-08-07,20.777777989705406,74844.0,20.744141533261253,0.31340573559368684,5,1,1,0.03363645644415314,0.1073255930700673,0
2021-08-08,20.706349054972335,79380.0,20.744141533261253,0.31340573559368684,6,1,1,-0.03779247828891741,-0.12058642837957906,0
2021-08-09,20.63492012023926,83916.0,20.760014579409646,0.2979300360310102,0,0,0,-0.1250944591703842,-0.4198786427742508,0
2021-08-10,20.9285717010498,139986.0,20.763037999471027,0.29936824738608325,1,0,0,0.16553370157877367,0.5529434167588638,0
2021-08-11,21.19047546386719,228060.0,20.780800683157786,0.3134918107685194,2,0,0,0.40967478070940544,1.3068117463901059,1
2021-08-12,20.9285717010498,118188.0,20.791760671706427,0.31448911976659205,3,0,0,0.13681102934337375,0.4350262719578736,0
2021-08-13,20.67460250854492,49896.0,20.79705165681385,0.3113759473019929,4,0,0,-0.12244914826893094,-0.39325178881004474,0
2021-08-14,20.449735005696613,84210.0,20.79705165681385,0.3113759473019929,5,1,1,-0.34731665111723586,-1.1154254338739442,-1
2021-08-15,20.224867502848305,118524.0,20.79705165681385,0.3113759473019929,6,1,1,-0.5721841539655443,-1.8375990789378553,-1
2021-08-16,20.0,152838.0,20.781178701491584,0.3430790089061281,0,0,0,-0.7811787014915836,-2.2769644344674163,-2
2021-08-17,18.9761905670166,126252.0,20.724489393688383,0.5082781345038851,1,0,0,-1.7482988266717818,-3.439649884562206,-3
2021-08-18,18.83333206176758,111888.0,20.6500373113723,0.6526729844903687,2,0,0,-1.8167052496047198,-2.783484674217473,-2
2021-08-19,18.18253898620605,132300.0,20.525698707217263,0.84447919185961,3,0,0,-2.3431597210112116,-2.7746802332114173,-2
2021-08-20,18.17460250854492,56322.0,20.392289752051944,0.9801493660065098,4,0,0,-2.217687243507026,-2.262601314065735,-2
2021-08-21,18.201057434082028,81732.0,20.392289752051944,0.9801493660065098,5,1,1,-2.1912323179699165,-2.235610605858784,-2
2021-08-22,18.22751235961914,107142.0,20.392289752051944,0.9801493660065098,6,1,1,-2.1647773924328035,-2.20861989765183,-2
2021-08-23,18.25396728515625,132552.0,20.262660071963357,1.0745337935871724,0,0,0,-2.0086927868071065,-1.869362135276716,-1
2021-08-24,18.86507987976074,84798.0,20.136053902762278,1.0751413532735528,1,0,0,-1.2709740230015392,-1.1821459746959988,-1
2021-08-25,19.0,55944.0,20.05517714364188,1.0944310952068281,2,0,0,-1.055177143641881,-0.9641330077911129,0
2021-08-26,18.67460250854492,77742.0,19.95578184581938,1.1214866098647989,3,0,0,-1.2811793372744624,-1.142393788748771,-1
2021-08-27,18.88888740539551,77616.0,19.85033961704799,1.112270639208475,4,0,0,-0.9614522116524782,-0.8644049188753884,0
2021-08-28,18.907406489054363,151074.0,19.85033961704799,1.112270639208475,5,1,1,-0.9429331279936264,-0.8477551189022178,0
2021-08-29,18.92592557271322,224532.0,19.85033961704799,1.112270639208475,6,1,1,-0.924414044334771,-0.8311053189290438,0
2021-08-30,18.94444465637207,297990.0,19.764171872820175,1.108853004934841,0,0,0,-0.8197272164481042,-0.7392568832838879,0
2021-08-31,18.5238094329834,151326.0,19.660619372413272,1.1187405570570834,1,0,0,-1.1368099394298739,-1.016151539567246,-1
2021-09-01,18.41269874572754,133182.0,19.538170496622723,1.1073025510220926,2,0,0,-1.1254717508951835,-1.0164085234485551,-1
2021-09-02,17.89682579040527,158886.0,19.391912097022647,1.1118011445225473,3,0,0,-1.4950863066173774,-1.3447425503950423,-1
